riskId,name,description
R430,Insurance Coverage Limitations,"Some insurance policies have large deductibles and broad exclusions, and insurance providers may be unable or unwilling to pay a claim. Losses not covered by insurance may be large, which could harm results of operations and financial condition."
R431,Intellectual Property Dependency,"The company may need to seek or renew licenses relating to various aspects of products and services, though it believes such licenses can generally be obtained on commercially reasonable terms."
R432,Intellectual Property Infringement Claims,"Customers and partners require indemnification for certain intellectual property infringement claims, which could increase costs and may require payment of significant damages if there is an adverse ruling."
R433,Intellectual Property Licensing Risk,"Many products and services include intellectual property owned by third parties, and there is no guarantee that licenses could be obtained in the future on reasonable terms or at all."
R434,Intellectual Property Protection Risk,"Protecting intellectual property rights and combating unlicensed copying and use of software on a global basis is difficult. Changes in law may weaken the ability to prevent use of patented technology or collect royalties, and source code leaks could enable competitors to copy functionality."
R435,Intellectual Property Rights Risk,"Efforts to protect intellectual property rights could result in substantial costs, and the company's competitive position could be harmed if those efforts are unsuccessful or if the company is prohibited from making or selling products. Additional risks include patent infringement lawsuits, indemnification obligations, and potential suspension of product manufacturing and sales."
R436,Intellectual Property Risk,The company faces risks related to intellectual property.
R437,Intellectual Property Royalty Pressure,"Certain foreign governments, particularly in China and other countries in Asia, have advanced arguments under their competition laws that exert downward pressure on royalties for intellectual property."
R438,Intense Competition,"Businesses are rapidly evolving, intensely competitive, and subject to changing technologies, shifting user needs, and frequent introductions of new products and services. Competitors range from large established companies to emerging start-ups in search, online advertising, wireless mobile devices, and operating systems."
R439,Intense Competition in Global Payments Industry,"The global payments industry is highly competitive, dynamic, and innovative, with competition likely to intensify as new competitors emerge, businesses form combinations and partnerships, and established companies expand into new segments."
R440,Interchange Fee Regulatory Risk,"Interchange fees associated with four-party payment systems are under review or challenge in various jurisdictions, and fees that PayPal collects may become subject to regulatory challenge, including under the EU Multilateral Interchange Fee Regulation."
R441,Intercompany Foreign Exchange Risk,"Intercompany balances denominated in various foreign currencies expose the company to foreign exchange risk. Based on intercompany balances as of December 31, 2022, an assumed 5%, 10%, and 20% adverse change in foreign exchange rates would result in losses of $275 million, $555 million, and $1.1 billion, respectively."
R442,Interest Rate Risk,"Adverse changes in market interest rates could decrease the fair value of marketable securities. A hypothetical 1.00% (100 basis points) increase in interest rates would have resulted in a decrease in the fair value of marketable securities of approximately $1.2 billion and $1.3 billion as of December 31, 2014 and December 31, 2015 respectively."
R443,Interest Rate Risk on Long-Term Debt,"PG&E Corporation's net loss increased in 2022 compared to 2021 primarily due to higher interest rates on long-term debt, contributing to a net loss of $412 million."
R444,International Expansion Regulatory Risk,"As the company introduces new products and services and expands into new markets, it expects to become subject to additional regulations, restrictions, and licensing requirements across multiple jurisdictions."
R445,International Growth and Expansion,"The company faces risks related to its international growth, expansion, and the management of that growth."
R446,International Operations Risk,"International operations expose the company to risks including changes in local political, economic, regulatory, tax, social, and labor conditions; restrictions on foreign ownership and investments; stringent foreign exchange controls; import and export requirements; tariffs; trade disputes; longer payment cycles; increased credit risk; higher payment fraud; developing foreign laws; uncertainty regarding liability for services and content; and different employee/employer relationships."
R447,International Trade Restrictions,"Restrictions on international trade, such as tariffs and other controls on imports or exports of goods, technology or data, can materially adversely affect the Company's operations and supply chain and limit the Company's ability to offer and distribute its products and services to customers."
R448,Inventory Excess Risk,"Excess supply of NVIDIA Ampere architecture Gaming and Data Center products relative to demand expectations, particularly for expected demand in China, resulted in $2.17 billion of inventory charges."
R449,Inventory Management Risk,"Inventory management is subject to risks arising from variability in customer demand and in fulfillment throughput and productivity, which can adversely affect operations."
R450,Inventory Obsolescence Risk,"The Company records write-downs for product and component inventories that have become obsolete or exceed anticipated demand, or for which cost exceeds net realizable value."
R451,Inventory Provision Risk,"There is a risk of incurring inventory provisions if inventory or supply commitments are misaligned with demand. Supply, including inventory on hand, purchase obligations, and prepaid supply agreements, has grown significantly."
R452,Inventory Risk,"The company faces the risk of holding excess inventory due to unexpected changes in demand, cancellation or deferral of customer purchase orders, improper demand estimation, or increases in competitive product demand."
R453,Inventory Turnover Variability,"Variability in inventory turnover is affected by numerous factors including product mix, mix of sales by third-party sellers, in-stock inventory availability, supply chain disruptions and resulting vendor lead times, investment in new geographies and product lines, and use of third-party fulfillment providers."
R454,Inventory Valuation Adjustments,"Costs associated with inventory valuation adjustments are included in cost of revenue, posing a financial risk if adjustments are significant."
R455,Inventory Valuation Risk,"Inventories are valued using the first-in first-out method at the lower of cost and net realizable value, and assumptions about future disposition of inventory are inherently uncertain. For every 1% of additional inventory valuation allowance as of December 31, 2022, an additional cost of sales of approximately $390 million would have been recorded."
R456,Inventory Write-Downs and Purchase Commitment Cancellation,"The Company is exposed to the risk of inventory write-downs for product and component inventories that have become obsolete or exceed anticipated demand, as well as purchase commitment cancellation risk."
R457,Inventory and Purchase Commitment Risk,"Non-cancellable and non-returnable purchasing commitments placed well in advance of historical lead times create the risk of excess inventory, cancellation penalties, impairments, and inventory write-downs."
R458,Inventory and Staffing Optimization Risk,"Failure to optimize inventory or staffing in fulfillment network increases net shipping cost. Regional labor market and global supply chain constraints increase payroll costs and make it difficult to hire, train, and deploy sufficient staff."
R459,Inverse Condemnation Liability,"Inverse condemnation imposes strict liability, including liability for attorneys' fees, for damages resulting from the design, construction, and maintenance of utility facilities such as electric transmission lines. Plaintiffs assert this doctrine in lawsuits related to certain wildfires in the Utility's service area."
R460,Investigations and Litigation Risk,"Other companies in the technology industry with which the Company has commercial relationships are or may become subject to investigations and litigation. If resolved against those other companies, such proceedings could materially adversely affect the Company's commercial relationships, business, results of operations, and financial condition."
R461,Investment Portfolio Risk,"Investment portfolio is subject to general credit, liquidity, market, and interest rate risks, which may be exacerbated by market downturns or a downgrade of the U.S. government credit rating, potentially requiring impairment charges."
R462,Investment Return Risk,"Significant investments in products and services may not achieve expected returns. Continued investments in research, development, and marketing may not generate sufficient revenue growth."
R463,Investment Volatility Risk,Holding investments in publicly traded companies could create volatility in results and may generate losses up to the value of the investment.
R464,Investment and Acquisition Risks,"Investments in new business strategies or acquisitions may involve significant risks, including management distraction, greater-than-expected liabilities and expenses, economic, political, legal, and regulatory challenges, inadequate return on capital, and potential asset impairment or write-offs. There is also a risk of failure to obtain required regulatory approvals."
R465,"IoT Security, Privacy, and Execution Risk","IoT products and services may contain defects, have limited update capabilities, collect large amounts of data, and affect personal health and safety, leading to legal claims or enforcement actions."
R466,Israel Operations Risk,"Other countries have restricted, and may continue to restrict, business with the State of Israel through measures such as economic boycotts, which poses a risk to the company's engineering, sales support, and manufacturing operations located there."
R467,Jurisdictional Regulatory Uncertainty Risk,"There may be uncertainty whether the Singapore-based service is subject only to Singapore law or also to other local laws, and whether such local laws might require a payment processor to be licensed as a payments service, bank, or financial institution."
R468,Key Metrics Accuracy Risk,"Real or perceived inaccuracies in key metrics, which are calculated using internal company data, may harm PayPal's reputation and negatively affect its business."
R469,Key Personnel Retention Risk,"The loss of key personnel, or the inability to attract, hire, develop, motivate, and retain highly qualified and diverse talent in both remote and in-office environments, could harm the company's overall business and results of operations."
R470,Labor Market Competition,"A highly competitive labor market for skilled workers and leaders, combined with cost inflation, the effects of the COVID-19 pandemic, and varying workforce participation rates, creates significant challenges in attracting and retaining qualified employees."
R471,Lease Expiry,The Company's head office lease is due to expire in fiscal 2024 and the Company has not yet finalized a renewal of the current lease terms.
R472,Legacy System Support Risk,"Customers expect continued support for legacy systems that may not incorporate the strongest current security advances or standards, making it difficult for the company to discontinue support for less secure products."
R473,Legal Claims and Litigation,"The company faces legal actions for defamation, negligence, breaches of contract, copyright or trademark infringement, unfair competition, unlawful activity, tort, fraud, or other theories based on the nature and content of information published or linked to."
R474,Legal Liabilities Risk,"Accrued aggregate legal liabilities of $617 million as of June 30, 2023, with adverse outcomes potentially reaching approximately $600 million beyond recorded amounts."
R475,Legal Proceedings and Claims,Outcomes of legal proceedings and claims may include significant monetary damages or injunctive relief and could have a material adverse impact on operating results.
R476,Legal and Other Contingencies,"The Company is subject to various legal proceedings and claims that arise in the ordinary course of business, the outcomes of which are inherently uncertain. Resolution of legal matters in a manner inconsistent with management's expectations could have a material impact on the Company's financial condition and operating results."
R477,Legal and Regulatory Compliance Risks,"The Company's business, results of operations, and financial condition could be adversely impacted by unfavorable results of legal proceedings or government investigations."
R478,Legal and Regulatory Proceedings,"The company faces risks arising from legal or regulatory proceedings to which it is a party, as referenced in the Risk Factors and Commitments and Contingencies disclosures."
R479,Legal and Regulatory Requirements Risk,"Existing and increasing legal and regulatory requirements, spanning areas such as user privacy, telecommunications, data storage and protection, advertising, and online content, could adversely affect results of operations."
R480,Legislative and Regulatory Developments,"PG&E Corporation and the Utility could be materially affected by legislative and regulatory developments, as their operations are subject to extensive federal, state, and local laws, regulations, and orders. Compliance with these requirements results in significant capital, operating, and other costs."
R481,License Maintenance and Renewal Risk,"Maintaining and renewing licenses, certifications, and approvals involves substantial costs and potential product and operational changes. The company could be subject to enforcement actions, fines, and litigation if found to violate any requirements."
R482,License and Permit Risk,"The Utility's asset retirement obligation could be materially impacted if required federal and state licenses, permits, and approvals for Diablo Canyon extended operations are not received."
R483,Limited Customer Technical Sophistication,Customers of widely varied size and technical sophistication may have limited capabilities and resources to adopt and implement state-of-the-art cybersecurity practices and technologies.
R484,Limited Suppliers and Component Shortages,"Limited suppliers for certain device and datacenter components may lead to delays or unavailability of components, resulting in reduced sales, inadequate datacenter capacity, increased cost of revenue, and supply chain disruptions."
R485,Liquidity Risk from Loan Portfolio Growth,"Growth in the portfolio of loan receivables increases liquidity needs, and any inability to meet those liquidity needs could adversely affect the business."
R486,Liquidity and Capital Market Access Risk,"The Utility's ability to fund operations, finance capital expenditures, make scheduled principal and interest payments, and make distributions depends on its operating cash flows and continued access to capital and credit markets."
R487,Liquidity and Financing Risk,There can be no assurance that additional credit lines or financing instruments will be available in amounts or on terms acceptable to the company.
R488,Litigation Contingencies,"PG&E Corporation and the Utility face significant contingencies arising from their operations, including enforcement and litigation matters that could have a material effect on financial condition, results of operations, liquidity, and cash flows."
R489,Litigation Settlement Risk,"The Company may enter into agreements or other arrangements to settle litigation, which can significantly increase its cost of sales and operating expenses. Such settlements may also require the Company to change its business practices and limit its ability to offer certain products and services."
R490,Litigation and Government Investigations,"The company faces risks from the outcomes of claims, litigation, government investigations, and other proceedings."
R491,Litigation and Regulatory Proceedings,"Business is exposed to the risks associated with litigation, investigations and regulatory proceedings."
R492,Local Partner Dependency Risk,"In certain markets, the company may need to rely on local banks or other partners to process payments and conduct foreign currency exchange transactions, and local regulators may use their authority over such local partners to prohibit, restrict, or limit operations."
R493,Local RA Procurement Failure,"The Utility, as CPE, risks failing to procure resources to meet local RA requirements, deferring to CAISO backstop mechanisms when bid costs are deemed unreasonably high."
R494,Loss Contingencies Risk,"The company is regularly subject to claims, suits, government investigations, and other proceedings involving competition and antitrust, intellectual property, privacy, indirect taxes, labor and employment, and commercial disputes. Certain matters include speculative claims for substantial or indeterminate amounts of damages."
R495,Loss Contingency Estimation Risk,The process for estimating wildfire-related and other liabilities requires management to exercise significant judgment based on assumptions and subjective factors. Actual results may differ materially from estimates and assumptions.
R496,Loss of Key Senior Management and Personnel,"The company depends on senior management and other key personnel, including the President and CEO, and carries no key person life insurance. Intense competition for qualified personnel, particularly software engineers, computer scientists, and other technical staff in the technology industry, poses a significant retention and recruitment risk."
R497,Lost Generation Value Disallowance Risk,The CPUC may disallow the value of lost generation due to unplanned outages at utility-owned generation facilities.
R498,Macroeconomic Conditions,"Macroeconomic factors including inflation, increased interest rates, significant capital market volatility, the prolonged COVID-19 pandemic, global supply chain constraints, and global economic and geopolitical developments have direct and indirect impacts on results of operations."
R499,Macroeconomic Conditions & COVID-19 Disruptions,"Global macro-economic conditions and COVID-19 related disruptions in China weighed on gaming demand, leading to lower sell-in to partners and reduced channel inventory levels."
R500,Macroeconomic Environment Risk,"The company faces broader macroeconomic risks including COVID-19 uncertainty, the Russia-Ukraine conflict, supply chain shortages, global recession, and elevated inflation and interest rates. These conditions could lead to lower consumer spending, merchant and consumer bankruptcies, higher credit losses, and adverse foreign currency exchange fluctuations."
R501,Macroeconomic Forecast Risk,"A significant change in forecasted macroeconomic factors such as unemployment rates, retail e-commerce sales, and household disposable income could result in a material change in allowances."
R502,Macroeconomic Uncertainty,"Macroeconomic uncertainty affects the allowances maintained for merchant and consumer portfolios, including qualitative adjustments and changes to acceptable risk parameters."
R503,Macroeconomic Volatility,"Continued macroeconomic volatility and uncertainty around the financial health of merchant borrowers, including uncertainty around the effectiveness of loan modification programs, pose ongoing risks to the business."
R504,Macroeconomic and COVID-19 Disruption Risk,"Global macro-economic conditions and COVID-19 related disruptions in China weighed on gaming demand, contributing to lower revenue."
R505,Macroeconomic and Government Policy Risk,"Government fiscal and tax policies, trade relationships, tariffs, restrictive actions, government shutdowns, austerity programs, and other adverse macroeconomic developments could materially reduce demand for PayPal's products and services, including the volume and size of transactions on its payments platform."
R506,Macroeconomic and Industry Risks,"The Company's operations and performance depend significantly on global and regional economic conditions. Adverse macroeconomic conditions, including slow growth or recession, high unemployment, inflation, tighter credit, higher interest rates, and currency fluctuations, can adversely impact consumer confidence and spending and materially adversely affect demand for the Company's products and services."
R507,Malicious Cyber Attacks,"The Company experiences malicious attacks and other attempts to gain unauthorized access to its systems on a regular basis. These attacks seek to compromise the confidentiality, integrity or availability of confidential information or disrupt normal business operations, and can impair the Company's ability to attract and retain customers, impact stock price, materially damage commercial relationships, and expose the Company to litigation or government investigations."
R508,Mandatory R&D Capitalization (TCJA),"Beginning in FY2023, the Tax Cuts and Jobs Act requires taxpayers to capitalize R&D expenditures and amortize domestic expenditures over five years and foreign expenditures over fifteen years, creating an adverse cash flow impact."
R509,Manufacturing Disruption Risk,"Manufacturing, assembly, and other processes may be disrupted by facility closures related to heat waves, natural disasters, or electricity conservation efforts, as well as by low manufacturing yields resulting from product design failures or foundry process technology issues."
R510,Manufacturing Lead Time Risk,"Long manufacturing lead times, in some cases extending beyond twelve months for some products, requiring non-cancellable inventory orders, premium payments, and deposits to secure future supply and capacity."
R511,Manufacturing and Logistics Disruption,"Manufacturing or logistics in outsourced locations or in transit to final destinations can be disrupted by natural and man-made disasters, IT system failures, commercial disputes, armed conflict, or economic, labor, environmental, public health, political, or international trade issues."
R512,Market Expansion Risk,"Growth depends on the ability to reach new users in new markets, including frontline workers, small and medium businesses, and growth markets."
R513,Market Risk,"The company faces potential economic losses on market risk sensitive instruments arising from adverse changes in market factors such as interest rates, foreign currency exchange rates, and equity investment values."
R514,Market Risk - Interest Rates and Foreign Exchange,The Company is exposed to economic risk from interest rates and foreign exchange rate fluctuations.
R515,Market Value Depression Risk,"Substantial sales of stock by existing stockholders, including the Fire Victim Trust, could depress the market value of PG&E Corporation's common stock and make it more difficult to sell equity or equity-linked securities in the future."
R516,Material Weakness in Internal Controls,"Identification of material weaknesses in internal controls may cause investors to lose confidence, stock price decline, restatement of financials, restricted capital market access, or regulatory sanctions."
R517,"Media, Political, and Regulatory Scrutiny","The media, political, and regulatory scrutiny Amazon faces, which may continue to increase, amplifies regulatory and litigation risks."
R518,Merchant Financial Condition Risk,"Failure to effectively monitor and evaluate the financial condition of merchants may expose PayPal to losses, particularly in the event of merchant bankruptcy, insolvency, or business failure where goods or services are sold in advance of delivery."
R519,Merchant Financial Health Risk,The company faces uncertainty around the financial health of merchant borrowers and the effectiveness of loan modification programs made available to merchants.
R520,Merchant Financing Legal Challenge Risk,"The ability to receive the benefit of U.S. merchant financing offerings and certain installment loan products may be subject to legal challenge regarding federal preemption of state usury laws, potentially impacting PayPal's merchant financing and installment products."
R521,Mid-Term Reliability Risk,"Incremental electric system reliability needs between 2024 and 2026 due to the pending retirement of once-through-cooling natural gas plants in Southern California and the possible retirement of Diablo Canyon, requiring at least 11,500 MW of additional net qualifying capacity to be procured by LSEs."
R522,Minimum Return Threshold Risk,"In the event the overall return on PayPal branded credit programs funded by the partner institution does not meet a minimum rate of return in a particular quarter, PayPal's revenues may be negatively impacted."
R523,Minority Market Share,"The Company holds a minority market share in the global smartphone, personal computer, and tablet markets, facing substantial competition from companies with significant technical, marketing, and distribution resources as well as established supplier relationships."
R524,Motor Vehicle or Aviation Incident,"A motor vehicle or aviation incident involving a Utility vehicle or aircraft resulting in serious injuries, fatalities, property damage, or other consequences."
R525,Municipalization / Eminent Domain Risk,"Jurisdictions may attempt to acquire the Utility's assets through eminent domain, and the City and County of San Francisco has submitted a petition with the CPUC seeking a valuation of the Utility's electric assets in San Francisco with expressed intent to acquire them."
R526,Municipalization Risk,"Municipalities could seek to acquire Utility assets through eminent domain or municipalization proceedings, which would reduce the Utility's rate base, revenues, and profitability while materially affecting its financial condition, results of operations, liquidity, and cash flows."
R527,Municipalization and State Takeover Risk,"The Utility's business profile and financial results could be adversely affected by calls for municipalization of part or all of its businesses, actions by municipalities to acquire electric assets, or calls for state intervention including a potential state takeover."
R528,NEM Successor Tariff Subsidy Reduction,"New customers interconnecting under the successor tariff face reduced subsidies: about 60% reduction for standalone solar, about 45% for solar-paired storage, and about 35% for new commercial customers."
R529,NEM Tariff Change Risk,"The CPUC final decision will reduce the NEM subsidy by reducing the bill credits for exported energy to avoided cost levels for new customers interconnecting under the successor tariff, potentially impacting customer-generators and the Utility's business."
R530,NRC License Renewal Risk,"If NRC license renewal or approval from California state agencies is not received, the Utility would retire Unit 1 in 2024 and Unit 2 in 2025. The Utility has requested the NRC resume review of a license renewal application that was voluntarily withdrawn in 2018."
R531,NRC License Renewal Uncertainty,"The NRC staff declined to resume review of the previously withdrawn license renewal application and directed the Utility to submit a new application, creating uncertainty about the continuation of operations at Diablo Canyon."
R532,NRC Regulatory Compliance Cost Risk,"The Utility has incurred and may continue to incur substantial costs to comply with NRC regulations and orders. If unable to recover these costs, or if it cannot comply in a feasible and economic manner, the Utility may voluntarily or be ordered to cease operations at Diablo Canyon, potentially incurring material charges."
R533,Nation-State Cyber Attack Risk,"Sophisticated threat actors, including nation-states and nation-state-supported groups, engage in cyber-attacks especially during geopolitical conflicts and times of war, potentially disrupting the company's ability to provide services and products."
R534,Natural Disasters and Catastrophic Events,"Increasing frequency and intensity of weather events related to climate change, seismic activity in San Francisco Bay Area, could lead to disruption or failure of systems or operations, resulting in significant losses and recovery costs."
R535,Natural Disasters and Climate Change,"Many of the Company's operations and facilities are in locations prone to earthquakes and other natural disasters. Global climate change is resulting in certain types of natural disasters occurring more frequently or with more intense effects, making it difficult to manufacture and deliver products."
R536,Natural Gas Cost Recovery Risk,"Inability by the Utility to recover through rates its investments into the natural gas system while still ensuring gas system safety and reliability could materially affect the Utility's financial condition, results of operations, liquidity, and cash flows."
R537,Natural Gas Overpressure Event Risk,"An overpressure event on natural gas facilities due to equipment failure, incorrect operating procedures, or fabrication defects can result in pipeline failure and uncontained natural gas flow."
R538,Natural Gas Price Risk,The cost of natural gas increased in 2022 compared to 2021 due to higher customer demand and elevated market prices.
R539,Natural Gas Price Volatility,"Natural gas costs may increase due to factors including higher customer demand, below-normal winter temperatures, prolonged drought conditions, lower hydro-electric generation output, lower natural gas storage levels, and regional pipeline constraints."
R540,Natural Gas Stranded Assets Risk,"Various jurisdictions within California have enacted prohibitions or restrictions on natural gas use, which could reduce the gas customer base, diminish need for gas infrastructure, and cause certain gas assets to no longer be 'used and useful,' potentially stranding substantial investment value and reducing rate recovery."
R541,Natural Gas Supply Concentration Risk,"The Utility's largest individual supplier represented approximately 47% of the total natural gas volume purchased during 2022, creating significant supplier concentration risk."
R542,Natural and Human-Caused Disaster Risk,"Natural or human-caused disasters, including public health crises, extreme weather, geopolitical events, security issues, and labor or trade disputes, could disrupt business operations."
R543,Net Energy Metering (NEM) Cost Shifts,"Increasing levels of self-generation by customers and enrollment in NEM shifts costs to non-NEM customers, increasing rate pressure on remaining customers."
R544,Net Operating Loss Carryforward Limitation Risk,"Limitations on PG&E Corporation's ability to utilize net operating loss carryforwards or other tax attributes could cause U.S. federal and California income taxes to be paid earlier than otherwise required. Such limitations could also cause carryforwards to expire unused, reducing or eliminating their benefit."
R545,Network Operator Fees,"Operators of the networks between customers and the company's online stores may successfully charge fees to grant customers unimpaired and unconstrained access to online services, which could increase costs and affect competitiveness."
R546,Network Rule Violations and Fines,"PayPal may be subject to fines and penalties assessed by networks resulting from rule violations by PayPal or its merchants. Networks have alleged that various aspects of PayPal's business model violate their rules, potentially resulting in significant fines, penalties, damages, or required changes in business practices."
R547,New Product Adoption Risk,"If customers do not perceive latest offerings as providing significant new functionality or value, they may reduce purchases of new software and hardware products or upgrades, unfavorably affecting revenue."
R548,New Use Case Demand Uncertainty,NVIDIA builds technology and products for use cases and applications that may be new or may not yet exist. Demand estimates for these use cases and applications can be incorrect and create volatility in revenue or supply levels.
R549,Non-Marketable Equity Securities Impairment Risk,"Non-marketable equity securities accounted for under the Measurement Alternative are reviewed for impairment when events and circumstances indicate a decline in fair value below carrying value, based on factors such as the investees' financial condition, business outlook, industry performance, and regulatory, economic, or technological environment."
R550,Non-cancellable Inventory Orders,"NVIDIA has placed non-cancellable inventory orders for certain product components in advance of historical lead times and has paid premiums and provided deposits to secure future supply and capacity, creating financial exposure if demand does not materialize."
R551,Nuclear Accident Risk,"A nuclear accident, seismic activity, natural disaster, or terrorist act could cause the release of radioactive materials, posing significant safety and liability risks."
R552,Nuclear Decommissioning Cost Risk,"The Utility has an obligation to decommission its electricity generation facilities including nuclear facilities. If actual decommissioning costs exceed estimated costs, financial condition, results of operations, liquidity, and cash flows could be materially affected."
R553,Nuclear Fuel Disposal,"The DOE has been unable to meet its contractual obligation to dispose of nuclear waste from the Utility's two nuclear generating units at Diablo Canyon and the retired nuclear facility at Humboldt Bay, requiring the Utility to construct interim dry cask storage facilities onsite."
R554,Nuclear Generation Facilities Risk,"The operation and decommissioning of the Utility's nuclear generation facilities expose it to potentially significant liabilities from environmental, health, and financial risks. The Utility may not be able to fully recover its costs if regulatory requirements or operating conditions change or the facilities cease operations before the licenses expire."
R555,Nuclear Generation Liability Risk,"Operation of nuclear generation facilities exposes the Utility to significant liabilities from environmental, health, and financial risks, including risks relating to operation of Diablo Canyon nuclear generation units, storage, handling, and disposal of spent nuclear fuel, and release of radioactive materials caused by nuclear accident, seismic activity, natural disaster, or terrorist act."
R556,Nuclear Insurance Coverage Risk,"If the Utility incurs losses not covered by insurance or exceeding available insurance coverage, such losses could have a material effect on financial condition, results of operations, liquidity, and cash flows. The Utility may be required under federal law to pay up to $275 million per nuclear incident."
R557,Nuclear Operations Outage Risk,"Diablo Canyon Unit 2 experienced five outages between July 2020 and April 2021 due to excessive vibrations within the main generator, adversely affecting capacity factors and generation availability."
R558,Nuclear Opposition and Public Concern Risk,"The Utility faces public concern about nuclear generation safety. Nuclear opposition groups file petitions at the NRC challenging its actions. Public pressure could lead to adverse changes in legislation, regulations, or orders, potentially causing operations at Diablo Canyon to cease before licenses expire in 2024 and 2025."
R559,Nuclear Regulatory Risk,NRC has authority to impose fines or force a shutdown of a nuclear plant in the event of non-compliance. NRC safety and security requirements have necessitated substantial capital expenditures at Diablo Canyon.
R560,OEM Channel Inventory Levels,Changes in inventory levels in the OEM channel impact Windows OEM revenue.
R561,OEM Partner Competition Compliance Risk,"The company both cooperates and competes with OEM partners, creating a risk of non-compliance with competition rules, with increasing regulatory scrutiny in this area."
R562,Online Advertising and Technology Risk,New and existing technologies or industry trends may restrict online advertising or affect ability to customize advertising or tailor product and service offerings.
R563,Open Source Competition,"Some companies compete by modifying and distributing open source software at little or no cost, using open source AI models, without bearing the full costs of research and development. Some open source products mimic the features and functionality of Microsoft products."
R564,Open Source Licensing Risk,Increasing engagement with open source software may cause the company to license its intellectual property rights broadly in certain situations.
R565,Open Source Software Vulnerabilities,"The company increasingly incorporates open source software into its products, which may contain vulnerabilities that make those products susceptible to cyberattacks."
R566,Operating Cost Control Risk,"Under cost-of-service ratemaking, the Utility's earnings depend on its ability to manage costs within authorized amounts, including a goal of increasing capital investments while reducing non-fuel operating and maintenance costs by two percent per year through implementation of the Lean operating system."
R567,Operating Results Fluctuation,"Operating results may fluctuate as a result of a number of factors, many outside of the company's control, including ability to attract and retain users, monetization of traffic, revenue fluctuations from property/platform/geographical mix, operating costs, capital expenditures, and seasonality and cyclicality of advertising spending."
R568,Operational Disruption Risk,"The Company could be subject to unexpected developments, such as lower-than-anticipated demand, issues with new product or service introductions, information technology system failures or network disruptions, or failure of one of the Company's logistics, components supply, or manufacturing partners."
R569,Operational Disruptions,"Operations could be harmed and costs could increase if manufacturing, logistics, or other operations are disrupted due to natural disasters, high heat events, water shortages, IT system failures, military actions, or economic, business, labor, environmental, public health, or political issues."
R570,Operational Expansion Risk,"Rapid expansion places a significant strain on management, operational, financial, and other resources."
R571,Operational Inefficiency Risk,Inefficiencies in process and workflow that the company aims to eliminate through Lean deployment and waste elimination strategies.
R572,Operational Outages and Infrastructure Failures,"Microsoft may experience excessive outages, data losses, and disruptions of online services if it fails to maintain an adequate operations infrastructure. Increasing user traffic, growth in services, and product complexity demand more computing power."
R573,Operations and IT Risk,"The Utility faces operational and IT risks including hazardous electricity and natural gas operations, changes in the electric power and gas industries, cyber incidents, nuclear generation facility operation and decommissioning, and challenges in attracting and retaining specialty personnel."
R574,Operator or Human Error,Operator or other human error leading to operational failures or safety incidents.
R575,Outsourcing Partner Financial Risk,"If outsourcing partners or suppliers experience severe financial problems or other disruptions, supply may be reduced or terminated, and the recoverability of manufacturing process equipment or prepayments may be negatively impacted."
R576,Outsourcing and Supply Chain Dependency,"Substantially all manufacturing is performed by outsourcing partners located primarily in China mainland, India, Japan, South Korea, Taiwan, and Vietnam, with significant concentration among a small number of partners often operating in single locations. This outsourcing reduces direct control over production and distribution, which may adversely affect the quality or quantity of products manufactured."
R577,Overpressure and Outage Risk,"Risk of increasing pressure on gas systems leading to outages and overpressure events, mitigated by automatic safety devices."
R578,Ownership Change Risk,"Under Section 382 of the IRC, if PG&E Corporation undergoes an ownership change, net operating loss carryforwards and other tax attributes may be subject to certain limitations. An ownership change occurs if aggregate stock ownership of certain shareholders increases by more than 50% over their lowest percentage ownership during the testing period."
R579,Ownership Limitation Risk,"PG&E Corporation's Amended Articles impose a 4.75% ownership limitation on percentage stock ownership, with shares held by the Fire Victim Trust, the Utility, and ShareCo excluded from the outstanding share count, resulting in an effective ownership limitation of approximately 3.46% as of February 16, 2023."
R580,Ownership Restrictions Complexity,"The application of Ownership Restrictions under PG&E Corporation's Amended Articles of Incorporation may be determined on the basis of shares outstanding that could differ materially from shares reported as outstanding, due to the grantor trust election for the Fire Victim Trust."
R581,Ownership Restrictions on Equity Securities,"The Amended Articles impose restrictions on the transferability and ownership of PG&E Corporation common stock, preferred stock, and other Equity Securities to reduce the possibility of an equity ownership shift that could limit the ability to utilize net operating loss carryforwards and other tax attributes. Any person or entity acquiring 4.75% or more of outstanding Equity Securities may be in violation of these restrictions, and transferees receiving Equity Securities in violation will not be recognized as shareholders."
R582,PC Shipments Dependency,Growth in Devices is dependent on total PC shipments and the ability to attract new customers.
R583,PISA Regulation Risk,"PayPal (Europe) is subject to regulation by the ECB under the oversight framework for electronic payment instruments, schemes and arrangements (PISA), which may lead to increased compliance obligations and costs."
R584,PRC Regulatory Risk,"The People's Republic of China regulates Amazon's businesses through laws and license requirements that restrict foreign investment, Internet content, and the sale of media and other products and services."
R585,PSPS Program Risk,"The PSPS program has been subject to significant scrutiny and criticism. The Utility may be subject to mandated changes, regulatory fines, penalties, claims for damages, and reputational harm if PSPS is not executed in compliance with applicable rules and regulations."
R586,PSPS and EPSS Reputational Risk,"The PSPS and EPSS programs have had an adverse impact on the Utility's reputation with customers, regulators, and policymakers, and future events may further increase negative perceptions."
